Date;Publicis Groupe
2018-04-10;170.67348678601874
2018-04-11;162.54617789144643
2018-04-12;123.9414606422279
2018-04-13;142.22790565501563
2018-04-16;150.35521454958794
2018-04-17;132.06876953680023
2018-04-18;166.6098323387326
2018-04-19;160.51435066780334
2018-04-20;156.4506962205172
2018-04-23;166.6098323387326
2018-04-24;140.19607843137254
2018-04-25;146.2915601023018
2018-04-26;170.67348678601874
2018-04-27;113.7823245240125
2018-04-30;117.84597897129866
2018-05-02;156.4506962205172
2018-05-03;121.90963341858482
2018-05-04;103.6231884057971
2018-05-07;117.84597897129866
2018-05-08;142.22790565501563
2018-05-09;130.03694231315714
2018-05-10;115.81415174765557
2018-05-11;105.65501562944017
2018-05-14;142.22790565501563
2018-05-15;134.1005967604433
2018-05-16;140.19607843137254
2018-05-17;128.00511508951405
2018-05-18;107.68684285308326
2018-05-21;115.81415174765557
2018-05-22;117.84597897129866
2018-05-23;144.2597328786587
2018-05-24;203.18272236430803
2018-05-25;134.1005967604433
2018-05-28;100.57544757033247
2018-05-29;139.68812162546175
2018-05-30;106.16297243535094
2018-05-31;122.92554703040635
2018-06-01;111.7504973003694
2018-06-04;139.68812162546175
2018-06-05;111.7504973003694
2018-06-06;145.27564649048023
2018-06-07;111.7504973003694
2018-06-08;89.40039784029553
2018-06-11;139.68812162546175
2018-06-12;106.16297243535094
2018-06-13;111.7504973003694
2018-06-14;117.33802216538788
2018-06-15;100.57544757033247
2018-06-18;83.81287297527706
2018-06-19;106.16297243535094
2018-06-20;117.33802216538788
2018-06-21;89.40039784029553
2018-06-22;111.7504973003694
2018-06-25;117.33802216538788
2018-06-26;111.7504973003694
2018-06-27;122.92554703040635
2018-06-28;100.57544757033247
2018-06-29;89.40039784029553
2018-07-02;83.81287297527706
2018-07-03;83.81287297527706
2018-07-04;111.7504973003694
2018-07-05;100.57544757033247
2018-07-06;89.40039784029553
2018-07-09;106.16297243535094
2018-07-10;100.57544757033247
2018-07-11;111.7504973003694
2018-07-12;117.33802216538788
2018-07-13;89.40039784029553
2018-07-16;558.752486501847
2018-07-17;150.8631713554987
2018-07-18;128.51307189542482
2018-07-19;162.03822108553564
2018-07-20;128.51307189542482
2018-07-23;128.51307189542482
2018-07-24;145.27564649048023
2018-07-25;134.1005967604433
2018-07-26;117.33802216538788
2018-07-27;94.98792270531399
2018-07-30;106.16297243535094
2018-07-31;122.92554703040635
2018-08-01;78.22534811025858
2018-08-02;106.16297243535094
2018-08-03;78.22534811025858
2018-08-06;111.7504973003694
2018-08-07;83.81287297527706
2018-08-08;117.33802216538788
2018-08-09;83.81287297527706
2018-08-10;94.98792270531399
2018-08-13;94.98792270531399
2018-08-14;89.40039784029553
2018-08-15;100.57544757033247
2018-08-16;89.40039784029553
2018-08-17;94.98792270531399
2018-08-20;89.40039784029553
2018-08-21;117.33802216538788
2018-08-22;111.7504973003694
2018-08-23;94.98792270531399
2018-08-24;116.27831917374643
2018-08-27;108.08970514742626
2018-08-28;78.61069465267364
2018-08-29;91.71247709478592
2018-08-30;86.79930867899381
2018-08-31;122.82921039480257
2018-09-03;86.79930867899381
2018-09-04;113.00287356321836
2018-09-05;137.5687156421789
2018-09-06;109.72742795269029
2018-09-07;85.16158587372978
2018-09-10;101.53881392637012
2018-09-11;113.00287356321836
2018-09-12;104.81425953689819
2018-09-13;117.91604197901046
2018-09-14;109.72742795269029
2018-09-17;113.00287356321836
2018-09-18;119.5537647842745
2018-09-19;139.2064384474429
2018-09-20;134.29327003165082
2018-09-21;72.05980343161751
2018-09-24;121.19148758953854
2018-09-25;122.82921039480257
2018-09-26;144.11960686323502
2018-09-27;103.17653673163416
2018-09-28;101.53881392637012
2018-10-01;131.01782442112273
2018-10-02;137.5687156421789
2018-10-03;113.00287356321836
2018-10-04;137.5687156421789
2018-10-05;104.81425953689819
2018-10-08;144.11960686323502
2018-10-09;121.19148758953854
2018-10-10;106.45198234216222
2018-10-11;116.27831917374643
2018-10-12;98.26336831584206
2018-10-15;134.29327003165082
2018-10-16;98.26336831584206
2018-10-17;116.27831917374643
2018-10-18;135.93099283691484
2018-10-19;131.01782442112273
2018-10-22;160.49683491587535
2018-10-23;127.74237881059467
2018-10-24;121.19148758953854
2018-10-25;114.64059636848239
2018-10-26;96.62564551057802
2018-10-29;88.43703148425784
2018-10-30;124.4669332000666
2018-10-31;90.07475428952188
2018-11-01;85.16158587372978
2018-11-02;73.69752623688154
2018-11-05;119.5537647842745
2018-11-06;101.53881392637012
2018-11-07;99.90109112110609
2018-11-08;108.08970514742626
2018-11-09;99.90109112110609
2018-11-12;113.00287356321836
2018-11-13;129.3801016158587
2018-11-14;108.08970514742626
2018-11-15;134.29327003165082
2018-11-16;144.11960686323502
2018-11-19;103.17653673163416
2018-11-20;137.5687156421789
2018-11-21;163.77228052640342
2018-11-22;137.45173544180287
2018-11-23;111.13119035720231
2018-11-26;111.13119035720231
2018-11-27;160.84777551700336
2018-11-28;152.0742604888032
2018-11-29;152.0742604888032
2018-11-30;119.90470538540251
2018-12-03;143.300745460603
2018-12-04;160.84777551700336
2018-12-05;105.2821803384022
2018-12-06;146.22525047000306
2018-12-07;134.5272304324028
2018-12-10;116.98020037600244
2018-12-11;152.0742604888032
2018-12-12;134.5272304324028
2018-12-13;116.98020037600244
2018-12-14;160.84777551700336
2018-12-17;134.5272304324028
2018-12-18;146.22525047000306
2018-12-19;146.22525047000306
2018-12-20;143.300745460603
2018-12-21;119.90470538540251
2018-12-24;78.96163525380165
2018-12-27;70.18812022560147
2018-12-28;81.88614026320171
2018-12-31;52.6410901692011
2019-01-02;122.82921039480257
2019-01-03;111.13119035720231
2019-01-04;76.0371302444016
2019-01-07;143.300745460603
2019-01-08;184.24381559220384
2019-01-09;122.82921039480257
2019-01-10;122.82921039480257
2019-01-11;116.98020037600244
2019-01-14;81.88614026320171
2019-01-15;157.9232705076033
2019-01-16;134.5272304324028
2019-01-17;131.60272542300274
2019-01-18;154.99876549820323
2019-01-21;137.45173544180287
2019-01-22;201.7908456486042
2019-01-23;157.9232705076033
2019-01-24;195.9418356298041
2019-01-25;143.300745460603
2019-01-28;119.90470538540251
2019-01-29;175.47030056400365
2019-01-30;143.300745460603
2019-01-31;137.45173544180287
2019-02-01;122.82921039480257
2019-02-04;149.14975547940313
2019-02-05;175.47030056400365
2019-02-06;160.84777551700336
2019-02-07;271.9789658742057
2019-02-08;228.11139073320476
2019-02-11;157.9232705076033
2019-02-12;146.22525047000306
2019-02-13;187.1683206016039
2019-02-14;172.54579555460361
2019-02-15;184.24381559220384
2019-02-18;146.22525047000306
2019-02-19;175.47030056400365
2019-02-20;212.86561052026673
2019-02-21;152.45780212938024
2019-02-22;204.23592360728296
2019-02-25;149.5812398250523
2019-02-26;287.6562304327929
2019-02-27;155.33436443370817
2019-02-28;178.34686286833158
2019-03-01;253.13748278085774
