Date;Total
2018-05-15;106.51420675592281
2018-05-16;101.932950551367
2018-05-17;101.932950551367
2018-05-18;96.20638029567222
2018-05-21;104.2235786536449
2018-05-22;100.78763650022805
2018-05-23;101.932950551367
2018-05-24;101.932950551367
2018-05-25;109.95014890933967
2018-05-28;96.37605645139651
2018-05-29;103.1631026803681
2018-05-30;104.52051192616241
2018-05-31;104.52051192616241
2018-06-01;101.80569343457377
2018-06-04;103.1631026803681
2018-06-05;101.80569343457377
2018-06-06;103.1631026803681
2018-06-07;103.1631026803681
2018-06-08;101.80569343457377
2018-06-11;99.09087494298514
2018-06-12;104.52051192616241
2018-06-13;101.80569343457377
2018-06-14;101.80569343457377
2018-06-15;103.1631026803681
2018-06-18;103.1631026803681
2018-06-19;107.23533041775104
2018-06-20;104.52051192616241
2018-06-21;99.09087494298514
2018-06-22;97.73346569719082
2018-06-25;101.80569343457377
2018-06-26;100.44828418877945
2018-06-27;100.44828418877945
2018-06-28;100.44828418877945
2018-06-29;97.73346569719082
2018-07-02;99.09087494298514
2018-07-03;100.44828418877945
2018-07-04;99.09087494298514
2018-07-05;97.73346569719082
2018-07-06;95.01864720560219
2018-07-09;99.09087494298514
2018-07-10;100.44828418877945
2018-07-11;101.80569343457377
2018-07-12;100.44828418877945
2018-07-13;97.73346569719082
2018-07-16;97.73346569719082
2018-07-17;100.44828418877945
2018-07-18;101.80569343457377
2018-07-19;99.09087494298514
2018-07-20;97.73346569719082
2018-07-23;100.44828418877945
2018-07-24;103.1631026803681
2018-07-25;104.52051192616241
2018-07-26;109.95014890933967
2018-07-27;135.7409245794317
2018-07-30;101.80569343457377
2018-07-31;100.44828418877945
2018-08-01;99.09087494298514
2018-08-02;99.09087494298514
2018-08-03;96.37605645139651
2018-08-06;95.01864720560219
2018-08-07;95.01864720560219
2018-08-08;99.09087494298514
2018-08-09;96.37605645139651
2018-08-10;92.30382871401355
2018-08-13;95.01864720560219
2018-08-14;95.01864720560219
2018-08-15;97.73346569719082
2018-08-16;96.37605645139651
2018-08-17;95.01864720560219
2018-08-20;100.44828418877945
2018-08-21;103.1631026803681
2018-08-22;96.37605645139651
2018-08-23;97.73346569719082
2018-08-24;96.6100925282576
2018-08-27;103.35033154185696
2018-08-28;102.22695837292373
2018-08-29;104.47370471079019
2018-08-30;103.35033154185696
2018-08-31;99.98021203505728
2018-09-03;97.73346569719082
2018-09-04;101.1035852039905
2018-09-05;103.35033154185696
