Date;Societe Generale
2018-04-23;76.23054970144011
2018-04-24;88.56196215314365
2018-04-25;82.95677467509658
2018-04-26;80.71469968387777
2018-04-27;88.56196215314365
2018-04-30;75.1095122058307
2018-05-02;105.37752458728485
2018-05-03;89.68299964875307
2018-05-04;89.68299964875307
2018-05-07;77.35158719704953
2018-05-08;52.68876229364243
2018-05-09;90.80403714436248
2018-05-10;54.930837284861255
2018-05-11;85.19884966631541
2018-05-14;84.077812170706
2018-05-15;89.68299964875307
2018-05-16;85.19884966631541
2018-05-17;80.71469968387777
2018-05-18;76.23054970144011
2018-05-21;49.325649806814184
2018-05-22;89.68299964875307
2018-05-23;81.83573717948717
2018-05-24;81.83573717948717
2018-05-25;85.19884966631541
2018-05-28;83.32634747584694
2018-05-29;90.81635623772083
2018-05-30;91.75260733295507
2018-05-31;77.70884090444153
2018-06-01;82.3900963806127
2018-06-04;85.19884966631541
2018-06-05;93.62510952342353
2018-06-06;81.45384528537848
2018-06-07;76.7725898092073
2018-06-08;73.9638365235046
2018-06-11;73.02758542827036
2018-06-12;81.45384528537848
2018-06-13;71.15508323780189
2018-06-14;73.02758542827036
2018-06-15;69.28258104733341
2018-06-18;63.665074475928
2018-06-19;73.9638365235046
2018-06-20;68.34632995209918
2018-06-21;66.4738277616307
2018-06-22;63.665074475928
2018-06-25;65.53757666639648
2018-06-26;80.51759419014424
2018-06-27;81.45384528537848
2018-06-28;79.58134309491
2018-06-29;79.58134309491
2018-07-02;84.26259857108118
2018-07-03;91.75260733295507
2018-07-04;88.94385404725236
2018-07-05;91.75260733295507
2018-07-06;72.09133433303612
2018-07-09;77.70884090444153
2018-07-10;82.3900963806127
2018-07-11;75.83633871397306
2018-07-12;79.58134309491
2018-07-13;72.09133433303612
2018-07-16;69.28258104733341
2018-07-17;82.3900963806127
2018-07-18;73.9638365235046
2018-07-19;67.41007885686494
2018-07-20;69.28258104733341
2018-07-23;66.4738277616307
2018-07-24;78.64509199967577
2018-07-25;75.83633871397306
2018-07-26;74.90008761873882
2018-07-27;80.51759419014424
2018-07-30;73.9638365235046
2018-07-31;88.94385404725236
2018-08-01;87.07135185678389
2018-08-02;74.90008761873882
2018-08-03;76.7725898092073
2018-08-06;73.02758542827036
2018-08-07;79.58134309491
2018-08-08;81.45384528537848
2018-08-09;68.34632995209918
2018-08-10;70.21883214256765
2018-08-13;66.4738277616307
2018-08-14;70.21883214256765
2018-08-15;45.87630366647753
2018-08-16;83.32634747584694
2018-08-17;70.21883214256765
2018-08-20;56.17506571405412
2018-08-21;67.41007885686494
2018-08-22;65.53757666639648
2018-08-23;68.34632995209918
2018-08-24;66.52376115337654
2018-08-27;75.63660514698977
2018-08-28;89.3058711374096
2018-08-29;88.39458673804828
2018-08-30;75.63660514698977
2018-08-31;75.63660514698977
2018-09-03;85.66073353996431
2018-09-04;91.12843993613224
2018-09-05;82.92688034188035
2018-09-06;82.92688034188035
2018-09-07;78.37045834507373
2018-09-10;76.54788954635109
2018-09-11;80.19302714379637
2018-09-12;78.37045834507373
2018-09-13;75.63660514698977
2018-09-14;71.99146754954447
2018-09-17;67.43504555273786
