Date;L'oreal
2017-12-14;83.5650172612198
2017-12-15;80.6156637108238
2017-12-18;87.49748866174778
2017-12-19;84.5481351113518
2017-12-20;88.48060651187978
2017-12-21;88.48060651187978
2017-12-22;88.48060651187978
2017-12-27;92.41307791240777
2017-12-28;89.46372436201177
2017-12-29;88.48060651187978
2018-01-02;73.73383875989983
2018-01-03;74.71695661003181
2018-01-04;78.6494280105598
2018-01-05;78.6494280105598
2018-01-08;87.49748866174778
2018-01-09;82.5818994110878
2018-01-10;89.46372436201177
2018-01-11;90.44684221214378
2018-01-12;91.42996006227578
2018-01-15;91.42996006227578
2018-01-16;82.5818994110878
2018-01-17;85.53125296148379
2018-01-18;88.48060651187978
2018-01-19;91.42996006227578
2018-01-22;92.41307791240777
2018-01-23;89.46372436201177
2018-01-24;87.49748866174778
