Date;Hermes
2018-03-13;85.47843125641634
2018-03-14;87.48968846244966
2018-03-15;89.50094566848298
2018-03-16;89.50094566848298
2018-03-19;83.46717405038301
2018-03-20;86.484059859433
2018-03-21;90.50657427149964
2018-03-22;88.49531706546632
2018-03-23;86.484059859433
2018-03-26;84.47280265339967
2018-03-27;84.47280265339967
2018-03-28;92.51783147753298
2018-03-29;87.48968846244966
2018-04-03;80.45028824133303
2018-04-04;87.48968846244966
2018-04-05;92.51783147753298
2018-04-06;88.49531706546632
2018-04-09;87.48968846244966
2018-04-10;89.50094566848298
2018-04-11;86.484059859433
2018-04-12;85.47843125641634
2018-04-13;82.46154544736635
2018-04-16;84.47280265339967
2018-04-17;84.47280265339967
2018-04-18;85.47843125641634
2018-04-19;86.484059859433
2018-04-20;80.45028824133303
2018-04-23;81.45591684434969
2018-04-24;83.46717405038301
2018-04-25;86.484059859433
2018-04-26;85.47843125641634
2018-04-27;82.46154544736635
2018-04-30;76.42777382926637
2018-05-02;87.48968846244966
2018-05-03;87.48968846244966
2018-05-04;89.50094566848298
2018-05-07;77.43340243228303
2018-05-08;86.484059859433
2018-05-09;84.47280265339967
2018-05-10;71.39963081418306
2018-05-11;87.48968846244966
2018-05-14;89.50094566848298
2018-05-15;88.49531706546632
2018-05-16;90.50657427149964
2018-05-17;91.51220287451632
2018-05-18;100.56286030166628
2018-05-21;66.37148779909974
2018-05-22;85.47843125641634
2018-05-23;88.49531706546632
2018-05-24;89.50094566848298
2018-05-25;91.51220287451632
2018-05-28;86.69577114427861
2018-05-29;92.47548922056386
2018-05-30;91.51220287451632
2018-05-31;77.06290768380322
2018-06-01;87.65905749032615
2018-06-04;94.40206191265894
2018-06-05;90.54891652846878
2018-06-06;91.51220287451632
2018-06-07;95.36534825870648
2018-06-08;87.65905749032615
2018-06-11;92.47548922056386
2018-06-12;92.47548922056386
2018-06-13;96.32863460475401
2018-06-14;96.32863460475401
2018-06-15;90.54891652846878
2018-06-18;82.84262576008845
2018-06-19;87.65905749032615
2018-06-20;87.65905749032615
2018-06-21;89.58563018242124
2018-06-22;85.73248479823107
2018-06-25;90.54891652846878
2018-06-26;86.69577114427861
2018-06-27;81.87933941404091
2018-06-28;89.58563018242124
2018-06-29;87.65905749032615
2018-07-02;84.76919845218353
2018-07-03;90.54891652846878
2018-07-04;96.32863460475401
2018-07-05;95.36534825870648
2018-07-06;83.80591210613599
2018-07-09;85.73248479823107
2018-07-10;87.65905749032615
2018-07-11;89.58563018242124
2018-07-12;93.4387755666114
2018-07-13;86.69577114427861
2018-07-16;88.62234383637369
2018-07-17;85.73248479823107
2018-07-18;91.51220287451632
2018-07-19;94.40206191265894
2018-07-20;89.58563018242124
2018-07-23;87.65905749032615
2018-07-24;89.58563018242124
2018-07-25;88.62234383637369
2018-07-26;88.62234383637369
2018-07-27;84.76919845218353
2018-07-30;88.62234383637369
2018-07-31;90.54891652846878
2018-08-01;89.58563018242124
2018-08-02;92.47548922056386
2018-08-03;88.62234383637369
2018-08-06;93.4387755666114
2018-08-07;88.62234383637369
2018-08-08;93.4387755666114
2018-08-09;91.51220287451632
2018-08-10;80.91605306799337
2018-08-13;83.80591210613599
2018-08-14;89.58563018242124
2018-08-15;91.51220287451632
2018-08-16;87.65905749032615
2018-08-17;89.58563018242124
2018-08-20;89.58563018242124
2018-08-21;90.54891652846878
2018-08-22;95.36534825870648
2018-08-23;88.62234383637369
2018-08-24;82.13778209224878
2018-08-27;81.0570218015613
2018-08-28;86.46082325499873
2018-08-29;89.70310412706118
2018-08-30;88.62234383637369
2018-08-31;82.13778209224878
2018-09-03;89.70310412706118
2018-09-04;90.78386441774866
2018-09-05;88.62234383637369
2018-09-06;89.70310412706118
2018-09-07;83.21854238293626
2018-09-10;84.29930267362376
