Date;Michelin
2017-12-14;80.3342750876189
2017-12-15;77.61107932193691
2017-12-18;81.6958729704599
2017-12-19;81.6958729704599
2017-12-20;77.61107932193691
2017-12-21;73.52628567341392
2017-12-22;74.88788355625492
2017-12-27;87.1422645018239
2017-12-28;85.7806666189829
2017-12-29;80.3342750876189
2018-01-02;81.6958729704599
2018-01-03;81.6958729704599
2018-01-04;83.05747085330091
2018-01-05;78.97267720477791
2018-01-08;74.88788355625492
2018-01-09;78.97267720477791
2018-01-10;80.3342750876189
2018-01-11;83.05747085330091
2018-01-12;76.24948143909592
2018-01-15;81.6958729704599
2018-01-16;80.3342750876189
2018-01-17;77.61107932193691
2018-01-18;81.6958729704599
2018-01-19;83.05747085330091
2018-01-22;83.05747085330091
2018-01-23;80.3342750876189
2018-01-24;78.97267720477791
