Date;Kering
2018-05-18;82.14156725146199
2018-05-21;83.09670175438596
2018-05-22;86.91723976608188
2018-05-23;85.9621052631579
2018-05-24;86.91723976608188
2018-05-25;88.82750877192983
2018-05-28;98.30244304093567
2018-05-29;93.56497590643275
2018-05-30;92.38060912280702
2018-05-31;94.74934269005848
2018-06-01;104.22427695906433
2018-06-04;103.03991017543859
2018-06-05;105.40864374269006
2018-06-06;105.40864374269006
2018-06-07;108.96174409356725
2018-06-08;108.96174409356725
2018-06-11;92.38060912280702
2018-06-12;92.38060912280702
2018-06-13;76.98384093567252
2018-06-14;47.37467134502924
2018-06-15;29.609169590643276
2018-06-18;41.45283742690059
2018-06-19;40.26847064327485
2018-06-20;50.927771695906436
2018-06-21;42.63720421052631
2018-06-22;50.927771695906436
2018-06-25;49.7434049122807
2018-06-26;47.37467134502924
2018-06-27;43.82157099415205
2018-06-28;47.37467134502924
2018-06-29;55.66523883040936
2018-07-02;53.2965052631579
2018-07-03;50.927771695906436
2018-07-04;52.11213847953216
2018-07-05;61.58707274853801
2018-07-06;65.14017309941521
2018-07-09;56.849605614035084
2018-07-10;55.66523883040936
2018-07-11;59.21833918128655
2018-07-12;58.03397239766082
2018-07-13;65.14017309941521
2018-07-16;66.32453988304094
2018-07-17;66.32453988304094
2018-07-18;61.58707274853801
2018-07-19;61.58707274853801
2018-07-20;58.03397239766082
2018-07-23;50.927771695906436
2018-07-24;59.21833918128655
2018-07-25;55.66523883040936
2018-07-26;56.849605614035084
2018-07-27;63.955806315789474
2018-07-30;63.955806315789474
2018-07-31;63.955806315789474
2018-08-01;56.849605614035084
2018-08-02;62.77143953216374
2018-08-03;63.955806315789474
2018-08-06;76.98384093567252
2018-08-07;79.35257450292397
2018-08-08;69.87764023391813
2018-08-09;56.849605614035084
2018-08-10;60.40270596491228
2018-08-13;58.03397239766082
2018-08-14;58.03397239766082
2018-08-15;60.40270596491228
2018-08-16;54.480872046783624
2018-08-17;52.11213847953216
2018-08-20;66.32453988304094
2018-08-21;63.955806315789474
2018-08-22;54.480872046783624
2018-08-23;61.58707274853801
2018-08-24;63.25158822822823
2018-08-27;65.74836144776356
2018-08-28;66.58061918760866
2018-08-29;59.09029952900269
2018-08-30;61.58707274853801
2018-08-31;53.26449535008693
2018-09-03;61.58707274853801
2018-09-04;61.58707274853801
2018-09-05;59.09029952900269
2018-09-06;60.75481500869291
2018-09-07;57.425784049312476
2018-09-10;50.767722130551604
2018-09-11;59.09029952900269
2018-09-12;60.75481500869291
2018-09-13;65.74836144776356
2018-09-14;59.09029952900269
2018-09-17;70.74190788683421
2018-09-18;67.41287692745378
2018-09-19;58.25804178915758
2018-09-20;55.76126856962226
2018-09-21;57.425784049312476
2018-09-24;55.76126856962226
2018-09-25;58.25804178915758
2018-09-26;52.43223761024182
2018-09-27;59.9225572688478
2018-09-28;61.58707274853801
2018-10-01;51.599979870396716
2018-10-02;50.767722130551604
2018-10-03;53.26449535008693
2018-10-04;51.599979870396716
2018-10-05;56.593526309467364
2018-10-08;57.425784049312476
2018-10-09;83.22577398451084
2018-10-10;69.9096501469891
2018-10-11;59.09029952900269
2018-10-12;59.09029952900269
2018-10-15;53.26449535008693
2018-10-16;59.9225572688478
2018-10-17;57.425784049312476
2018-10-18;56.593526309467364
2018-10-19;54.92901082977715
2018-10-22;56.593526309467364
2018-10-23;51.599979870396716
2018-10-24;64.08384596807333
2018-10-25;54.92901082977715
2018-10-26;55.76126856962226
2018-10-29;54.92901082977715
2018-10-30;56.593526309467364
2018-10-31;64.91610370791845
2018-11-01;52.43223761024182
2018-11-02;55.76126856962226
2018-11-05;54.92901082977715
2018-11-06;54.92901082977715
2018-11-07;54.096753089932044
2018-11-08;56.593526309467364
2018-11-09;56.593526309467364
2018-11-12;55.76126856962226
2018-11-13;52.43223761024182
2018-11-14;59.9225572688478
2018-11-15;50.767722130551604
2018-11-16;54.92901082977715
2018-11-19;52.43223761024182
2018-11-20;50.767722130551604
2018-11-21;49.10320665086139
2018-11-22;50.43032034412791
2018-11-23;49.10320665086139
2018-11-26;46.44897926432834
2018-11-27;55.07521827056075
2018-11-28;60.38367304362684
2018-11-29;51.09387719076117
