Date;Axa
2018-04-11;108.71985410334347
2018-04-12;110.20916717325228
2018-04-13;98.29466261398177
2018-04-16;114.67710638297872
2018-04-17;107.23054103343465
2018-04-18;104.25191489361703
2018-04-19;104.25191489361703
2018-04-20;98.29466261398177
2018-04-23;111.6984802431611
2018-04-24;117.65573252279636
2018-04-25;104.25191489361703
2018-04-26;104.25191489361703
2018-04-27;98.29466261398177
2018-04-30;107.23054103343465
2018-05-02;111.6984802431611
2018-05-03;107.23054103343465
2018-05-04;98.29466261398177
2018-05-07;105.74122796352584
2018-05-08;99.78397568389057
2018-05-09;98.29466261398177
2018-05-10;87.86947112462006
2018-05-11;98.29466261398177
2018-05-14;114.67710638297872
2018-05-15;110.20916717325228
2018-05-16;104.25191489361703
2018-05-17;104.25191489361703
2018-05-18;98.29466261398177
2018-05-21;86.38015805471125
2018-05-22;110.20916717325228
2018-05-23;110.20916717325228
2018-05-24;105.74122796352584
2018-05-25;99.78397568389057
2018-05-28;111.2533981762918
2018-05-29;112.40034042553191
2018-05-30;104.37174468085107
2018-05-31;99.78397568389057
2018-06-01;94.04926443768997
2018-06-04;107.81257142857143
2018-06-05;112.40034042553191
2018-06-06;105.51868693009118
2018-06-07;105.51868693009118
2018-06-08;94.04926443768997
2018-06-11;111.2533981762918
2018-06-12;104.37174468085107
2018-06-13;106.6656291793313
2018-06-14;102.07786018237081
2018-06-15;87.16761094224924
2018-06-18;112.40034042553191
2018-06-19;104.37174468085107
2018-06-20;99.78397568389057
2018-06-21;102.07786018237081
2018-06-22;89.46149544072948
2018-06-25;114.69422492401216
2018-06-26;104.37174468085107
2018-06-27;95.19620668693008
2018-06-28;105.51868693009118
2018-06-29;92.90232218844984
2018-07-02;107.81257142857143
2018-07-03;111.2533981762918
2018-07-04;111.2533981762918
2018-07-05;107.81257142857143
2018-07-06;90.6084376899696
2018-07-09;113.54728267477203
2018-07-10;103.22480243161094
2018-07-11;100.9309179331307
2018-07-12;106.6656291793313
2018-07-13;97.49009118541034
2018-07-16;112.40034042553191
2018-07-17;103.22480243161094
2018-07-18;106.6656291793313
2018-07-19;105.51868693009118
2018-07-20;91.75537993920972
2018-07-23;110.10645592705167
2018-07-24;106.6656291793313
2018-07-25;100.9309179331307
2018-07-26;98.63703343465045
2018-07-27;92.90232218844984
2018-07-30;113.54728267477203
2018-07-31;107.81257142857143
2018-08-01;102.07786018237081
2018-08-02;104.37174468085107
2018-08-03;91.75537993920972
2018-08-06;102.07786018237081
2018-08-07;100.9309179331307
2018-08-08;98.63703343465045
2018-08-09;98.63703343465045
2018-08-10;90.6084376899696
2018-08-13;99.78397568389057
2018-08-14;96.34314893617021
2018-08-15;74.5512462006079
2018-08-16;100.9309179331307
2018-08-17;84.873726443769
2018-08-20;105.51868693009118
2018-08-21;97.49009118541034
2018-08-22;95.19620668693008
2018-08-23;95.19620668693008
2018-08-24;101.90016490431954
2018-08-27;109.94491476518687
2018-08-28;117.98966462605419
2018-08-29;112.62649805214264
2018-08-30;107.2633314782311
2018-08-31;101.90016490431954
2018-09-03;134.07916434778886
2018-09-04;117.98966462605419
2018-09-05;120.67124791300998
2018-09-06;111.28570640866475
2018-09-07;109.94491476518687
2018-09-10;124.69362284344363
2018-09-11;123.35283119996575
2018-09-12;112.62649805214264
2018-09-13;113.96728969562054
2018-09-14;103.24095654779742
2018-09-17;123.35283119996575
2018-09-18;122.01203955648786
2018-09-19;111.28570640866475
2018-09-20;104.58174819127531
2018-09-21;105.9225398347532
2018-09-24;124.69362284344363
2018-09-25;112.62649805214264
2018-09-26;119.33045626953208
2018-09-27;109.94491476518687
2018-09-28;112.62649805214264
2018-10-01;115.30808133909842
2018-10-02;115.30808133909842
2018-10-03;105.9225398347532
2018-10-04;115.30808133909842
2018-10-05;103.24095654779742
2018-10-08;119.33045626953208
2018-10-09;115.30808133909842
2018-10-10;116.64887298257631
2018-10-11;111.28570640866475
2018-10-12;103.24095654779742
2018-10-15;113.96728969562054
2018-10-16;123.35283119996575
2018-10-17;119.33045626953208
2018-10-18;103.24095654779742
2018-10-19;95.1962066869301
2018-10-22;119.33045626953208
2018-10-23;109.94491476518687
2018-10-24;116.64887298257631
2018-10-25;103.24095654779742
2018-10-26;95.1962066869301
2018-10-29;104.58174819127531
2018-10-30;120.67124791300998
2018-10-31;107.2633314782311
2018-11-01;76.42512367823964
2018-11-02;93.8554150434522
2018-11-05;128.7159977738773
2018-11-06;119.33045626953208
2018-11-07;108.60412312170898
2018-11-08;99.21858161736375
2018-11-09;103.24095654779742
2018-11-12;111.28570640866475
2018-11-13;116.64887298257631
2018-11-14;117.98966462605419
2018-11-15;107.2633314782311
2018-11-16;101.90016490431954
2018-11-19;120.67124791300998
2018-11-20;108.60412312170898
2018-11-21;115.30808133909842
2018-11-22;106.2389064023154
