Date;Carrefour
2018-08-16;57.75596298925265
2018-08-17;56.85352606754558
2018-08-20;57.75596298925265
2018-08-21;53.24377838071729
2018-08-22;53.24377838071729
2018-08-23;52.341341459010216
2018-08-24;54.31648641972758
2018-08-27;58.26677634116231
2018-08-28;53.328913939368896
2018-08-29;55.30405890008626
2018-08-30;58.26677634116231
2018-08-31;61.229493782238364
2018-09-03;61.229493782238364
2018-09-04;56.29163138044495
2018-09-05;57.279203860803634
2018-09-06;56.29163138044495
2018-09-07;57.279203860803634
2018-09-10;59.254348821521
2018-09-11;54.31648641972758
2018-09-12;52.341341459010216
2018-09-13;52.341341459010216
2018-09-14;55.30405890008626
2018-09-17;54.31648641972758
2018-09-18;50.366196498292844
2018-09-19;49.378624017934165
2018-09-20;50.366196498292844
2018-09-21;56.29163138044495
2018-09-24;59.254348821521
2018-09-25;57.279203860803634
2018-09-26;58.26677634116231
2018-09-27;59.254348821521
2018-09-28;59.254348821521
2018-10-01;55.30405890008626
2018-10-02;54.31648641972758
2018-10-03;50.366196498292844
2018-10-04;54.31648641972758
2018-10-05;57.279203860803634
2018-10-08;59.254348821521
2018-10-09;53.328913939368896
2018-10-10;54.31648641972758
2018-10-11;59.254348821521
2018-10-12;64.19221122331442
2018-10-15;55.30405890008626
2018-10-16;52.341341459010216
2018-10-17;53.328913939368896
2018-10-18;51.35376897865153
2018-10-19;58.26677634116231
2018-10-22;54.31648641972758
2018-10-23;53.328913939368896
2018-10-24;53.328913939368896
2018-10-25;56.29163138044495
2018-10-26;61.229493782238364
2018-10-29;60.24192130187968
2018-10-30;59.254348821521
2018-10-31;65.1797837036731
2018-11-01;98.75724803586833
2018-11-02;61.229493782238364
2018-11-05;60.24192130187968
2018-11-06;58.26677634116231
2018-11-07;56.29163138044495
2018-11-08;60.24192130187968
2018-11-09;61.229493782238364
2018-11-12;60.24192130187968
2018-11-13;55.30405890008626
2018-11-14;58.26677634116231
2018-11-15;61.229493782238364
2018-11-16;64.19221122331442
2018-11-19;70.11764610546652
2018-11-20;71.1052185858252
2018-11-21;78.01822594833598
2018-11-22;94.44311562166988
2018-11-23;125.9241541622265
2018-11-26;72.54326272389136
2018-11-27;58.85585466277978
2018-11-28;61.593336275002095
2018-11-29;62.96207708111325
2018-11-30;67.06829949944672
2018-12-03;76.64948514222483
2018-12-04;121.81793174389303
2018-12-05;136.87408061111577
2018-12-06;94.44311562166988
2018-12-07;78.01822594833598
2018-12-10;72.54326272389136
2018-12-11;71.1745219177802
2018-12-12;69.80578111166903
2018-12-13;71.1745219177802
2018-12-14;75.28074433611367
2018-12-17;79.38696675444714
