Date;Legrand SA
2018-05-10;46.851110302147795
2018-05-11;44.97706589006189
2018-05-14;52.473243538405534
2018-05-15;50.59919912631962
2018-05-16;52.473243538405534
2018-05-17;48.72515471423371
2018-05-18;52.473243538405534
2018-05-21;50.59919912631962
2018-05-22;58.095376774663265
2018-05-23;56.22133236257736
2018-05-24;48.72515471423371
2018-05-25;50.59919912631962
2018-05-28;56.482826931705624
2018-05-29;55.306101370628426
2018-05-30;51.775924687396824
2018-05-31;54.12937580955122
2018-06-01;49.42247356524242
2018-06-04;95.31477044725324
2018-06-05;60.013003614937226
2018-06-06;47.069022443088016
2018-06-07;52.95265024847402
2018-06-08;47.069022443088016
2018-06-11;54.12937580955122
2018-06-12;57.65955249278282
2018-06-13;51.775924687396824
2018-06-14;45.89229688201082
2018-06-15;49.42247356524242
2018-06-18;45.89229688201082
2018-06-19;57.65955249278282
2018-06-20;62.36645473709163
2018-06-21;62.36645473709163
2018-06-22;49.42247356524242
2018-06-25;50.59919912631962
2018-06-26;52.95265024847402
2018-06-27;44.71557132093362
2018-06-28;50.59919912631962
2018-06-29;45.89229688201082
2018-07-02;60.013003614937226
2018-07-03;57.65955249278282
2018-07-04;55.306101370628426
2018-07-05;61.189729176014424
2018-07-06;40.00866907662482
2018-07-09;64.71990585924603
2018-07-10;52.95265024847402
2018-07-11;54.12937580955122
2018-07-12;47.069022443088016
2018-07-13;45.89229688201082
2018-07-16;63.54318029816883
2018-07-17;54.12937580955122
2018-07-18;52.95265024847402
2018-07-19;51.775924687396824
2018-07-20;45.89229688201082
2018-07-23;55.306101370628426
2018-07-24;52.95265024847402
2018-07-25;58.83627805386003
2018-07-26;55.306101370628426
2018-07-27;48.24574800416522
2018-07-30;54.12937580955122
2018-07-31;50.59919912631962
2018-08-01;47.069022443088016
2018-08-02;55.306101370628426
2018-08-03;50.59919912631962
2018-08-06;67.07335698140042
2018-08-07;55.306101370628426
2018-08-08;47.069022443088016
2018-08-09;51.775924687396824
2018-08-10;42.362120198779216
2018-08-13;57.65955249278282
2018-08-14;44.71557132093362
2018-08-15;49.42247356524242
2018-08-16;43.53884575985642
2018-08-17;47.069022443088016
2018-08-20;55.306101370628426
2018-08-21;51.775924687396824
2018-08-22;54.12937580955122
2018-08-23;49.42247356524242
2018-08-24;49.42247356524242
2018-08-27;56.482826931705624
2018-08-28;52.560408394781625
2018-08-29;53.344892102166426
2018-08-30;51.775924687396824
2018-08-31;46.28453873570322
2018-09-03;71.38801737201683
2018-09-04;59.62076176124482
2018-09-05;57.267310639090425
2018-09-06;54.12937580955122
2018-09-07;56.482826931705624
2018-09-10;68.25008254247763
2018-09-11;51.775924687396824
2018-09-12;78.44837073848004
2018-09-13;56.482826931705624
2018-09-14;55.69834322432082
2018-09-17;61.974212883399225
2018-09-18;60.40524546862962
2018-09-19;60.40524546862962
2018-09-20;54.91385951693602
2018-09-21;60.40524546862962
2018-09-24;68.25008254247763
2018-09-25;60.40524546862962
2018-09-26;57.267310639090425
2018-09-27;58.051794346475226
2018-09-28;65.89663142032323
2018-10-01;64.32766400555363
2018-10-02;56.482826931705624
2018-10-03;48.63798985785762
2018-10-04;56.482826931705624
2018-10-05;50.20695727262722
2018-10-08;57.267310639090425
2018-10-09;59.62076176124482
2018-10-10;57.267310639090425
2018-10-11;61.189729176014424
2018-10-12;50.99144098001202
2018-10-15;72.95698478678644
2018-10-16;67.46559883509283
2018-10-17;55.69834322432082
2018-10-18;65.89663142032323
2018-10-19;54.91385951693602
2018-10-22;73.74146849417123
2018-10-23;66.68111512770803
2018-10-24;64.32766400555363
2018-10-25;58.051794346475226
2018-10-26;55.69834322432082
2018-10-29;61.189729176014424
2018-10-30;54.91385951693602
2018-10-31;51.775924687396824
2018-11-01;46.28453873570322
2018-11-02;54.91385951693602
2018-11-05;57.267310639090425
2018-11-06;57.267310639090425
2018-11-07;53.344892102166426
2018-11-08;60.40524546862962
2018-11-09;51.775924687396824
2018-11-12;64.32766400555363
2018-11-13;69.81904995724723
2018-11-14;61.974212883399225
2018-11-15;63.54318029816883
2018-11-16;59.62076176124482
2018-11-19;66.68111512770803
2018-11-20;66.68111512770803
2018-11-21;58.83627805386003
2018-11-22;58.83627805386003
2018-11-23;58.83627805386003
2018-11-26;58.83627805386003
2018-11-27;68.64232439617004
2018-11-28;58.83627805386003
2018-11-29;58.83627805386003
2018-11-30;49.03023171155002
2018-12-03;68.64232439617004
2018-12-04;58.83627805386003
2018-12-05;68.64232439617004
2018-12-06;58.83627805386003
2018-12-07;49.03023171155002
2018-12-10;58.83627805386003
2018-12-11;58.83627805386003
2018-12-12;68.64232439617004
2018-12-13;58.83627805386003
2018-12-14;58.83627805386003
2018-12-17;68.64232439617004
2018-12-18;58.83627805386003
2018-12-19;68.64232439617004
2018-12-20;58.83627805386003
2018-12-21;49.03023171155002
2018-12-24;58.83627805386003
2018-12-27;58.83627805386003
2018-12-28;58.83627805386003
2018-12-31;39.22418536924002
2019-01-02;58.83627805386003
2019-01-03;49.03023171155002
2019-01-04;49.03023171155002
2019-01-07;68.64232439617004
2019-01-08;58.83627805386003
2019-01-09;58.83627805386003
2019-01-10;58.83627805386003
2019-01-11;58.83627805386003
2019-01-14;58.83627805386003
2019-01-15;58.83627805386003
2019-01-16;68.64232439617004
2019-01-17;68.64232439617004
2019-01-18;58.83627805386003
2019-01-21;58.83627805386003
2019-01-22;58.83627805386003
2019-01-23;58.83627805386003
2019-01-24;58.83627805386003
2019-01-25;58.83627805386003
2019-01-28;196.1209268462001
2019-01-29;117.67255610772006
2019-01-30;98.06046342310005
2019-01-31;88.25441708079003
2019-02-01;205.9269731885101
2019-02-04;98.06046342310005
2019-02-05;88.25441708079003
2019-02-06;78.44837073848004
2019-02-07;78.44837073848004
2019-02-08;68.64232439617004
2019-02-11;68.64232439617004
2019-02-12;58.83627805386003
2019-02-13;58.83627805386003
2019-02-14;68.64232439617004
2019-02-15;88.25441708079003
2019-02-18;68.64232439617004
2019-02-19;68.64232439617004
2019-02-20;71.42512133114991
2019-02-21;65.85952746119017
2019-02-22;68.64232439617004
2019-02-25;79.77351213608951
2019-02-26;71.42512133114991
2019-02-27;66.7871264395168
2019-02-28;60.29393359123044
2019-03-01;62.149131547883684
