Date;Renault
2018-10-03;87.99100680070967
2018-10-04;90.13712891780014
2018-10-05;87.99100680070967
2018-10-08;90.13712891780014
2018-10-09;87.99100680070967
2018-10-10;90.13712891780014
2018-10-11;87.99100680070967
2018-10-12;91.21018997634539
2018-10-15;89.0640678592549
2018-10-16;90.13712891780014
2018-10-17;92.28325103489063
2018-10-18;91.21018997634539
2018-10-19;92.28325103489063
2018-10-22;90.13712891780014
2018-10-23;87.99100680070967
2018-10-24;84.77182362507395
2018-10-25;85.84488468361918
2018-10-26;87.99100680070967
2018-10-29;86.91794574216442
2018-10-30;85.84488468361918
2018-10-31;85.84488468361918
2018-11-01;93.35631209343586
2018-11-02;94.42937315198111
2018-11-05;100.86773950325254
2018-11-06;94.42937315198111
2018-11-07;90.13712891780014
2018-11-08;94.42937315198111
2018-11-09;91.21018997634539
2018-11-12;94.42937315198111
2018-11-13;91.21018997634539
2018-11-14;92.28325103489063
2018-11-15;87.99100680070967
2018-11-16;89.0640678592549
2018-11-19;107.30610585452398
2018-11-20;104.08692267888826
2018-11-21;98.72161738616207
2018-11-22;92.79832034299234
2018-11-23;90.8238879952691
2018-11-26;86.87502329982262
2018-11-27;88.84945564754585
2018-11-28;84.90059095209938
2018-11-29;81.93894243051452
2018-11-30;82.92615860437613
2018-12-03;85.88780712596099
2018-12-04;80.95172625665289
2018-12-05;83.91337477823775
2018-12-06;85.88780712596099
2018-12-07;81.93894243051452
2018-12-10;87.86223947368424
2018-12-11;81.93894243051452
2018-12-12;81.93894243051452
2018-12-13;81.93894243051452
2018-12-14;84.90059095209938
2018-12-17;83.91337477823775
2018-12-18;84.90059095209938
2018-12-19;79.96451008279128
2018-12-20;78.97729390892965
2018-12-21;78.97729390892965
2018-12-24;70.09234834417506
2018-12-27;89.83667182140748
2018-12-28;83.91337477823775
2018-12-31;67.1306998225902
2019-01-02;91.81110416913072
2019-01-03;88.84945564754585
2019-01-04;89.83667182140748
2019-01-07;89.83667182140748
2019-01-08;85.88780712596099
2019-01-09;87.86223947368424
2019-01-10;88.84945564754585
2019-01-11;89.83667182140748
2019-01-14;89.83667182140748
2019-01-15;86.87502329982262
2019-01-16;87.86223947368424
2019-01-17;93.78553651685397
2019-01-18;90.8238879952691
2019-01-21;93.78553651685397
2019-01-22;92.79832034299234
2019-01-23;89.83667182140748
2019-01-24;95.7599688645772
2019-01-25;91.81110416913072
2019-01-28;98.72161738616207
2019-01-29;96.74718503843883
2019-01-30;90.8238879952691
2019-01-31;88.84945564754585
2019-02-01;88.84945564754585
2019-02-04;94.77275269071558
2019-02-05;89.83667182140748
2019-02-06;92.79832034299234
2019-02-07;89.83667182140748
2019-02-08;90.8238879952691
2019-02-11;91.81110416913072
2019-02-12;95.7599688645772
2019-02-13;89.83667182140748
2019-02-14;87.86223947368424
2019-02-15;93.78553651685397
2019-02-18;96.74718503843883
2019-02-19;94.77275269071558
2019-02-20;94.77275269071558
2019-02-21;86.79188930623427
2019-02-22;92.77753684459525
2019-02-25;92.77753684459525
2019-02-26;87.78949722929443
2019-02-27;90.78232099847493
2019-02-28;84.79667346011394
2019-03-01;89.78471307541476
