Date;Arcelor Mittal
2017-12-14;31.025108225108227
2017-12-15;20.81948051948052
2017-12-18;17.145454545454548
2017-12-19;20.411255411255414
2017-12-20;15.920779220779222
2017-12-21;17.145454545454548
2017-12-22;13.879653679653682
2017-12-27;17.145454545454548
2017-12-28;14.287878787878789
2017-12-29;14.696103896103898
2018-01-02;24.493506493506494
2018-01-03;15.920779220779222
2018-01-04;19.594805194805197
2018-01-05;16.32900432900433
2018-01-08;24.085281385281387
2018-01-09;22.044155844155846
2018-01-10;30.61688311688312
2018-01-11;22.452380952380956
2018-01-12;26.942857142857147
2018-01-15;24.901731601731605
2018-01-16;22.860606060606063
2018-01-17;30.208658008658013
2018-01-18;22.044155844155846
2018-01-19;29.392207792207795
2018-01-22;25.30995670995671
2018-01-23;22.860606060606063
