Date;Schneider Electric
2017-12-13;95.38845905867183
2017-12-14;93.0899419729207
2017-12-15;60.9107027724049
2017-12-18;82.74661508704062
2017-12-19;93.0899419729207
2017-12-20;91.94068343004514
2017-12-21;74.70180528691166
2017-12-22;74.70180528691166
2017-12-27;51.716634429400386
2017-12-28;50.56737588652482
2017-12-29;43.67182462927144
2018-01-02;86.19439071566731
2018-01-03;91.94068343004514
2018-01-04;85.04513217279175
2018-01-05;67.80625402965829
2018-01-08;77.0003223726628
2018-01-09;82.74661508704062
2018-01-10;98.83623468729851
2018-01-11;88.49290780141844
2018-01-12;93.0899419729207
2018-01-15;75.85106382978724
2018-01-16;106.88104448742747
2018-01-17;114.92585428755642
2018-01-18;99.98549323017409
2018-01-19;94.23920051579626
2018-01-22;109.1795615731786
2018-01-23;104.58252740167634
