Date;Stmicroelectronics
2018-01-18;297.97297297297297
2018-01-19;238.3783783783784
2018-01-22;227.2043918918919
2018-01-23;242.10304054054055
2018-01-24;320.32094594594594
2018-01-25;372.46621621621625
2018-01-26;257.0016891891892
2018-01-29;320.32094594594594
2018-01-30;253.27702702702703
2018-01-31;253.27702702702703
2018-02-01;189.9577702702703
2018-02-02;208.5810810810811
2018-02-05;212.30574324324326
2018-02-06;242.10304054054055
2018-02-07;219.75506756756758
2018-02-08;297.97297297297297
2018-02-09;208.5810810810811
2018-02-12;115.46452702702703
2018-02-13;148.98648648648648
2018-02-14;189.9577702702703
2018-02-15;219.75506756756758
2018-02-16;264.45101351351354
2018-02-19;182.50844594594597
2018-02-20;204.85641891891893
2018-02-21;238.3783783783784
2018-02-22;216.03040540540542
2018-02-23;216.03040540540542
2018-02-26;263.3868243243243
2018-02-27;282.54222972972974
2018-02-28;282.54222972972974
2018-03-01;344.79729729729735
2018-03-02;129.29898648648648
2018-03-05;186.7652027027027
2018-03-06;316.0641891891892
2018-03-07;387.8969594594595
2018-03-08;287.3310810810811
2018-03-09;148.4543918918919
2018-03-12;225.07601351351354
2018-03-13;301.69763513513516
2018-03-14;316.0641891891892
2018-03-15;191.55405405405406
2018-03-16;349.5861486486487
2018-03-19;196.34290540540542
2018-03-20;316.0641891891892
2018-03-21;244.23141891891893
2018-03-22;478.88513513513516
2018-03-23;349.5861486486487
2018-03-26;210.70945945945948
2018-03-27;320.8530405405406
2018-03-28;459.7297297297298
2018-03-29;320.8530405405406
2018-04-03;320.8530405405406
2018-04-04;373.5304054054054
2018-04-05;416.6300675675676
2018-04-06;340.008445945946
2018-04-09;196.34290540540542
2018-04-10;249.0202702702703
2018-04-11;316.0641891891892
2018-04-12;359.16385135135135
2018-04-13;244.23141891891893
2018-04-16;349.5861486486487
2018-04-17;249.0202702702703
2018-04-18;234.65371621621622
2018-04-19;325.64189189189193
2018-04-20;186.7652027027027
2018-04-23;383.1081081081081
2018-04-24;316.0641891891892
2018-04-25;263.3868243243243
2018-04-26;249.0202702702703
2018-04-27;416.6300675675676
2018-04-30;311.27533783783787
2018-05-02;421.41891891891896
2018-05-03;177.18750000000003
2018-05-04;445.36317567567573
2018-05-07;378.3192567567568
2018-05-08;301.69763513513516
2018-05-09;378.3192567567568
2018-05-10;215.49831081081084
2018-05-11;368.74155405405406
2018-05-14;177.18750000000003
2018-05-15;354.37500000000006
2018-05-16;320.8530405405406
2018-05-17;234.65371621621622
2018-05-18;450.1520270270271
2018-05-21;181.97635135135135
2018-05-22;440.5743243243244
2018-05-23;272.96452702702703
2018-05-24;378.3192567567568
2018-05-25;263.3868243243243
2018-05-28;309.1932285546416
2018-05-29;286.290026439483
2018-05-30;377.9028349001175
2018-05-31;314.91902908343127
2018-06-01;217.58042009400705
2018-06-04;246.20942273795535
2018-06-05;572.580052878966
2018-06-06;286.290026439483
2018-06-07;286.290026439483
2018-06-08;217.58042009400705
2018-06-11;257.6610237955347
2018-06-12;211.8546195652174
2018-06-13;343.54803172737957
2018-06-14;337.8222311985899
2018-06-15;280.5642259106933
2018-06-18;246.20942273795535
2018-06-19;280.5642259106933
2018-06-20;337.8222311985899
2018-06-21;303.467428025852
2018-06-22;211.8546195652174
2018-06-25;240.4836222091657
2018-06-26;372.17703437132786
2018-06-27;354.9996327849589
2018-06-28;263.3868243243243
2018-06-29;280.5642259106933
2018-07-02;263.3868243243243
2018-07-03;286.290026439483
2018-07-04;297.7416274970623
2018-07-05;234.75782168037605
2018-07-06;246.20942273795535
2018-07-09;446.61244124559346
2018-07-10;383.6286354289072
2018-07-11;160.32241480611046
2018-07-12;274.8384253819037
2018-07-13;280.5642259106933
2018-07-16;229.03202115158638
2018-07-17;229.03202115158638
2018-07-18;292.0158269682726
2018-07-19;194.67721797884843
2018-07-20;103.06440951821388
2018-07-23;211.8546195652174
2018-07-24;292.0158269682726
2018-07-25;423.7092391304348
2018-07-26;309.1932285546416
2018-07-27;314.91902908343127
2018-07-30;309.1932285546416
2018-07-31;360.72543331374857
2018-08-01;206.12881903642776
2018-08-02;223.30622062279673
2018-08-03;280.5642259106933
2018-08-06;360.72543331374857
2018-08-07;314.91902908343127
2018-08-08;131.69341216216216
2018-08-09;188.95141745005876
2018-08-10;269.112624853114
2018-08-13;171.77401586368978
2018-08-14;320.6448296122209
2018-08-15;80.16120740305523
2018-08-16;211.8546195652174
2018-08-17;251.93522326674503
2018-08-20;372.17703437132786
2018-08-21;154.5966142773208
2018-08-22;251.93522326674503
2018-08-23;309.1932285546416
2018-08-24;197.68091661690204
2018-08-27;212.88714097204834
2018-08-28;248.3683311340564
2018-08-29;248.3683311340564
2018-08-30;136.8560191963168
2018-08-31;197.68091661690204
2018-09-03;349.74316016836514
2018-09-04;278.780779844349
2018-09-05;456.1867306543893
2018-09-06;354.81190162008056
2018-09-07;233.1621067789101
2018-09-10;146.99350209974767
2018-09-11;263.57455548920274
2018-09-12;506.87414517154366
2018-09-13;380.15560887865774
2018-09-14;314.2619700063571
2018-09-17;223.02462387547922
2018-09-18;375.0868674269423
2018-09-19;334.5369358132188
2018-09-20;410.56805758895035
2018-09-21;177.40595081004028
2018-09-24;278.780779844349
2018-09-25;410.56805758895035
2018-09-26;243.29958968234098
2018-09-27;263.57455548920274
2018-09-28;349.74316016836514
2018-10-01;258.50581403748726
2018-10-02;187.54343371347116
2018-10-03;354.81190162008056
2018-10-04;283.84952129606444
2018-10-05;319.3307114580725
2018-10-08;263.57455548920274
2018-10-09;268.64329694091816
2018-10-10;491.6679208163974
2018-10-11;233.1621067789101
2018-10-12;364.94938452351147
2018-10-15;172.33720935832486
2018-10-16;329.4681943615034
2018-10-17;344.6744187166497
2018-10-18;212.88714097204834
2018-10-19;359.880643071796
2018-10-22;263.57455548920274
2018-10-23;258.50581403748726
2018-10-24;506.87414517154366
2018-10-25;476.46169646125105
2018-10-26;177.40595081004028
2018-10-29;456.1867306543893
2018-10-30;319.3307114580725
2018-10-31;329.4681943615034
2018-11-01;258.50581403748726
2018-11-02;283.84952129606444
2018-11-05;435.91176484752754
2018-11-06;410.56805758895035
2018-11-07;293.98700419949535
2018-11-08;349.74316016836514
2018-11-09;354.81190162008056
2018-11-12;375.0868674269423
2018-11-13;334.5369358132188
2018-11-14;243.29958968234098
2018-11-15;152.0622435514631
2018-11-16;273.7120383926336
2018-11-19;415.63679904066584
2018-11-20;375.0868674269423
2018-11-21;329.4681943615034
2018-11-22;96.09489002210516
2018-11-23;219.64546290766893
2018-11-26;398.10740152014995
2018-11-27;411.83524295187925
2018-11-28;562.8414987009016
2018-11-29;260.82898720285687
2018-11-30;329.4681943615034
2018-12-03;343.1960357932327
2018-12-04;439.29092581533786
2018-12-05;322.6042736456387
2018-12-06;260.82898720285687
2018-12-07;199.05370076007497
2018-12-10;398.10740152014995
2018-12-11;370.65171865669134
2018-12-12;480.47445011052577
