Date;Bouygues
2017-12-01;116.72264446914718
2017-12-04;135.22745395815832
2017-12-05;130.95711330684804
2017-12-06;142.34468837700877
2017-12-07;115.29919758537709
2017-12-08;122.41643200422753
2017-12-11;133.80400707438824
2017-12-12;118.14609135291727
2017-12-13;135.22745395815832
2017-12-14;128.11021953930788
2017-12-15;129.53366642307796
2017-12-18;139.49779460946857
2017-12-19;120.99298512045745
2017-12-20;112.45230381783692
2017-12-21;112.45230381783692
2017-12-22;105.33506939898648
2017-12-27;116.72264446914718
2017-12-28;112.45230381783692
2017-12-29;113.875750701607
2018-01-02;123.83987888799761
2018-01-03;113.875750701607
2018-01-04;116.72264446914718
2018-01-05;112.45230381783692
2018-01-08;99.64128186390613
2018-01-09;103.9116225152164
2018-01-10;96.79438809636595
2018-01-11;92.52404744505569
2018-01-12;85.40681302620526
2018-01-15;92.52404744505569
2018-01-16;102.4881756314463
2018-01-17;101.06472874767621
2018-01-18;95.37094121259587
2018-01-19;91.1006005612856
2018-01-22;96.79438809636595
2018-01-23;96.79438809636595
2018-01-24;91.1006005612856
2018-01-25;83.98336614243516
2018-01-26;89.67715367751552
2018-01-29;89.67715367751552
2018-01-30;93.94749432882578
2018-01-31;93.94749432882578
2018-02-01;85.40681302620526
2018-02-02;75.44268483981465
2018-02-05;96.79438809636595
2018-02-06;92.52404744505569
2018-02-07;88.25370679374542
2018-02-08;81.13647237489499
2018-02-09;86.83025990997534
2018-02-12;96.79438809636595
2018-02-13;91.1006005612856
2018-02-14;88.25370679374542
2018-02-15;92.52404744505569
2018-02-16;85.40681302620526
2018-02-19;96.79438809636595
2018-02-20;91.1006005612856
2018-02-21;85.40681302620526
2018-02-22;78.28957860735481
2018-02-23;85.40681302620526
2018-02-26;90.46795750183223
2018-02-27;85.7683233458929
2018-02-28;83.41850626792322
2018-03-01;86.94323188487773
2018-03-02;86.94323188487773
2018-03-05;95.16759165777157
2018-03-06;96.3425001967564
2018-03-07;97.51740873574124
2018-03-08;86.94323188487773
2018-03-09;96.3425001967564
2018-03-12;106.91667704761991
2018-03-13;99.8672258137109
2018-03-14;91.64286604081707
2018-03-15;93.99268311878673
2018-03-16;96.3425001967564
2018-03-19;101.04213435269574
2018-03-20;92.81777457980189
2018-03-21;95.16759165777157
2018-03-22;88.11814042386256
2018-03-23;83.41850626792322
2018-03-26;99.8672258137109
2018-03-27;95.16759165777157
2018-03-28;96.3425001967564
2018-03-29;97.51740873574124
2018-04-03;99.8672258137109
2018-04-04;95.16759165777157
2018-04-05;91.64286604081707
2018-04-06;82.2435977289384
2018-04-09;97.51740873574124
2018-04-10;82.2435977289384
2018-04-11;83.41850626792322
2018-04-12;83.41850626792322
2018-04-13;84.59341480690806
2018-04-16;85.7683233458929
2018-04-17;76.36905503401422
2018-04-18;74.01923795604455
2018-04-19;77.54396357299906
2018-04-20;75.19414649502939
2018-04-23;88.11814042386256
2018-04-24;78.71887211198388
2018-04-25;88.11814042386256
2018-04-26;78.71887211198388
2018-04-27;81.06868918995356
2018-04-30;86.94323188487773
2018-05-02;92.81777457980189
2018-05-03;85.7683233458929
2018-05-04;84.59341480690806
2018-05-07;85.7683233458929
2018-05-08;59.92033548822654
2018-05-09;89.2930489628474
2018-05-10;64.61996964416588
2018-05-11;83.41850626792322
2018-05-14;117.49085389848342
2018-05-15;99.8672258137109
2018-05-16;88.11814042386256
2018-05-17;86.94323188487773
2018-05-18;78.71887211198388
2018-05-21;65.79487818315071
2018-05-22;90.46795750183223
2018-05-23;104.56685996965024
2018-05-24;96.3425001967564
2018-05-25;84.59341480690806
2018-05-28;103.16270098403422
2018-05-29;95.94131191515183
2018-05-30;93.87805789547113
2018-05-31;92.8464308856308
2018-06-01;88.71992284626943
2018-06-04;92.8464308856308
2018-06-05;94.90968490531148
2018-06-06;100.0678199545132
2018-06-07;96.97293892499216
2018-06-08;96.97293892499216
2018-06-11;98.0045659348325
2018-06-12;100.0678199545132
2018-06-13;101.09944696435353
2018-06-14;100.0678199545132
2018-06-15;93.87805789547113
2018-06-18;99.03619294467285
2018-06-19;98.0045659348325
2018-06-20;92.8464308856308
2018-06-21;88.71992284626943
2018-06-22;86.65666882658874
2018-06-25;89.75154985610976
2018-06-26;83.56178779706772
2018-06-27;87.68829583642909
2018-06-28;80.46690676754669
