Date;TechnipFMC
2017-12-15;101.37931034482759
2017-12-18;68.27586206896552
2017-12-19;20.689655172413794
2017-12-20;62.06896551724138
2017-12-21;41.37931034482759
2017-12-22;120.00000000000001
2017-12-27;93.10344827586208
2017-12-28;41.37931034482759
2017-12-29;74.48275862068967
2018-01-02;39.310344827586206
2018-01-03;68.27586206896552
2018-01-04;76.55172413793105
2018-01-05;70.3448275862069
2018-01-08;113.79310344827587
2018-01-09;113.79310344827587
2018-01-10;95.17241379310346
2018-01-11;47.58620689655173
2018-01-12;68.27586206896552
2018-01-15;103.44827586206897
2018-01-16;169.6551724137931
2018-01-17;186.20689655172416
2018-01-18;76.55172413793105
2018-01-19;18.620689655172416
2018-01-22;111.72413793103449
2018-01-23;82.75862068965517
2018-01-24;55.862068965517246
