Date;Bnp Paribas
2018-05-09;49.82788327510205
2018-05-10;39.447074259455796
2018-05-11;46.71364057040818
2018-05-14;56.05636868448981
2018-05-15;50.86596417666668
2018-05-16;50.86596417666668
2018-05-17;52.94212597979593
2018-05-18;46.71364057040818
2018-05-21;36.33283155476192
2018-05-22;52.94212597979593
2018-05-23;53.98020688136056
2018-05-24;48.789802373537434
2018-05-25;48.789802373537434
2018-05-28;56.43157864891077
2018-05-29;58.78289442594872
2018-05-30;55.84374970465128
2018-05-31;52.31677603909436
2018-06-01;54.08026287187282
2018-06-04;58.78289442594872
2018-06-05;57.60723653742974
2018-06-06;55.255920760391795
2018-06-07;51.14111815057539
2018-06-08;52.90460498335385
2018-06-11;55.255920760391795
2018-06-12;51.72894709483487
2018-06-13;49.96546026205641
2018-06-14;47.614144485018464
2018-06-15;41.73585504242359
2018-06-18;46.43848659649949
2018-06-19;51.72894709483487
2018-06-20;49.377631317796926
2018-06-21;44.08717081946154
2018-06-22;42.32368398668308
2018-06-25;51.72894709483487
2018-06-26;48.20197342927795
2018-06-27;50.553289206315895
2018-06-28;50.553289206315895
2018-06-29;49.377631317796926
2018-07-02;55.255920760391795
2018-07-03;58.19506548168923
2018-07-04;57.01940759317026
2018-07-05;52.90460498335385
2018-07-06;44.08717081946154
2018-07-09;55.84374970465128
2018-07-10;54.66809181613231
2018-07-11;51.14111815057539
2018-07-12;49.96546026205641
2018-07-13;48.20197342927795
2018-07-16;46.43848659649949
2018-07-17;48.789802373537434
2018-07-18;47.614144485018464
2018-07-19;42.32368398668308
2018-07-20;42.32368398668308
2018-07-23;44.08717081946154
2018-07-24;51.14111815057539
2018-07-25;46.43848659649949
2018-07-26;48.789802373537434
2018-07-27;47.02631554075897
2018-07-30;51.72894709483487
2018-07-31;54.66809181613231
2018-08-01;52.90460498335385
2018-08-02;48.789802373537434
2018-08-03;50.553289206315895
2018-08-06;52.90460498335385
2018-08-07;48.20197342927795
2018-08-08;47.614144485018464
2018-08-09;45.26282870798051
2018-08-10;45.85065765224
2018-08-13;48.20197342927795
2018-08-14;44.08717081946154
2018-08-15;31.15493404575282
2018-08-16;47.02631554075897
2018-08-17;39.972368209645126
2018-08-20;47.02631554075897
2018-08-21;43.49934187520205
2018-08-22;41.73585504242359
2018-08-23;43.49934187520205
2018-08-24;41.782262590654604
2018-08-27;52.084738297939296
2018-08-28;50.940018774907664
2018-08-29;50.36765901339185
2018-08-30;49.22293949036022
2018-08-31;48.078219967328586
2018-09-03;54.37417734400256
2018-09-04;54.94653710551838
2018-09-05;50.940018774907664
2018-09-06;50.36765901339185
2018-09-07;48.078219967328586
2018-09-10;52.084738297939296
2018-09-11;51.51237853642348
2018-09-12;48.6505797288444
2018-09-13;45.2164211597495
2018-09-14;46.361140682781134
2018-09-17;47.505860205812766
2018-09-18;47.505860205812766
2018-09-19;42.354622352170416
2018-09-20;44.07170163671787
2018-09-21;44.64406139823368
2018-09-24;47.505860205812766
2018-09-25;47.505860205812766
2018-09-26;48.078219967328586
2018-09-27;46.93350044429695
2018-09-28;46.361140682781134
2018-10-01;55.5188968670342
2018-10-02;51.51237853642348
2018-10-03;50.940018774907664
2018-10-04;48.078219967328586
2018-10-05;49.22293949036022
2018-10-08;45.788780921265314
2018-10-09;50.36765901339185
2018-10-10;49.22293949036022
2018-10-11;46.93350044429695
2018-10-12;44.64406139823368
2018-10-15;45.788780921265314
2018-10-16;46.93350044429695
2018-10-17;45.788780921265314
2018-10-18;45.2164211597495
2018-10-19;43.49934187520205
2018-10-22;42.354622352170416
2018-10-23;45.788780921265314
2018-10-24;45.788780921265314
2018-10-25;48.6505797288444
2018-10-26;46.361140682781134
2018-10-29;46.361140682781134
2018-10-30;57.235976151581646
2018-10-31;52.657098059455116
2018-11-01;33.76922592943317
2018-11-02;47.505860205812766
2018-11-05;51.51237853642348
2018-11-06;49.22293949036022
2018-11-07;46.93350044429695
2018-11-08;42.354622352170416
2018-11-09;42.354622352170416
2018-11-12;40.63754306762297
2018-11-13;49.22293949036022
2018-11-14;45.2164211597495
2018-11-15;43.49934187520205
2018-11-16;43.49934187520205
2018-11-19;48.078219967328586
2018-11-20;44.64406139823368
2018-11-21;46.361140682781134
2018-11-22;47.36899156718941
2018-11-23;48.376842451597696
2018-11-26;49.38469333600599
2018-11-27;52.40824598923084
2018-11-28;55.431798642455696
2018-11-29;53.41609687363913
2018-11-30;51.40039510482256
2018-12-03;54.42394775804741
2018-12-04;59.46320218008884
