Date;Veolia Environ.
2017-12-15;73.09414381022981
2017-12-18;77.1549295774648
2017-12-19;92.38287620459602
2017-12-20;86.29169755374352
2017-12-21;79.1853224610823
2017-12-22;72.07894736842107
2017-12-27;75.1245366938473
2017-12-28;80.20051890289105
2017-12-29;71.06375092661231
2018-01-02;94.4132690882135
2018-01-03;95.42846553002225
2018-01-04;90.35248332097851
2018-01-05;83.24610822831728
2018-01-08;88.32209043736103
2018-01-09;89.33728687916977
2018-01-10;82.23091178650853
2018-01-11;73.09414381022981
2018-01-12;74.10934025203855
2018-01-15;86.29169755374352
2018-01-16;89.33728687916977
2018-01-17;96.443661971831
2018-01-18;101.51964418087474
2018-01-19;70.04855448480356
2018-01-22;89.33728687916977
2018-01-23;80.20051890289105
2018-01-24;95.42846553002225
