Date;Vivendi
2018-03-16;21.334366576819406
2018-03-19;21.334366576819406
2018-03-20;43.70943396226415
2018-03-21;52.03504043126684
2018-03-22;37.46522911051213
2018-03-23;26.01752021563342
2018-03-26;17.69191374663073
2018-03-27;20.814016172506737
2018-03-28;28.098921832884095
2018-03-29;23.41576819407008
2018-04-03;22.89541778975741
2018-04-04;22.89541778975741
2018-04-05;26.01752021563342
2018-04-06;28.098921832884095
2018-04-09;18.732614555256063
2018-04-10;25.497169811320752
2018-04-11;23.93611859838275
2018-04-12;21.854716981132075
2018-04-13;21.334366576819406
2018-04-16;29.139622641509433
2018-04-17;19.7733153638814
2018-04-18;23.41576819407008
2018-04-19;32.26172506738544
2018-04-20;21.334366576819406
2018-04-23;29.139622641509433
2018-04-24;38.505929919137465
2018-04-25;33.30242587601078
2018-04-26;36.42452830188679
2018-04-27;21.334366576819406
2018-04-30;21.334366576819406
2018-05-02;28.098921832884095
2018-05-03;19.252964959568732
2018-05-04;30.700673854447437
2018-05-07;19.7733153638814
2018-05-08;17.69191374663073
2018-05-09;26.01752021563342
2018-05-10;20.293665768194067
2018-05-11;24.456469002695417
2018-05-14;26.53787061994609
2018-05-15;26.01752021563342
2018-05-16;29.659973045822102
2018-05-17;34.34312668463612
2018-05-18;25.497169811320752
2018-05-21;21.334366576819406
2018-05-22;27.05822102425876
2018-05-23;23.41576819407008
2018-05-24;26.01752021563342
2018-05-25;18.212264150943394
2018-05-28;17.525008899964398
2018-05-29;21.304912780348875
2018-05-30;25.428444286222852
2018-05-31;18.89951940192239
2018-06-01;20.274029903880383
2018-06-04;20.61765752936988
2018-06-05;22.679423282306868
2018-06-06;18.212264150943394
2018-06-07;19.243147027411887
2018-06-08;16.8377536489854
2018-06-11;12.370594517621928
2018-06-12;18.89951940192239
2018-06-13;17.181381274474898
2018-06-14;14.088732645069417
2018-06-15;13.401477394090422
2018-06-18;16.8377536489854
2018-06-19;18.89951940192239
2018-06-20;18.89951940192239
2018-06-21;13.401477394090422
2018-06-22;10.30882876468494
2018-06-25;13.74510501957992
2018-06-26;19.243147027411887
2018-06-27;18.212264150943394
2018-06-28;15.119615521537911
2018-06-29;18.89951940192239
2018-07-02;16.150498398006405
2018-07-03;21.99216803132787
2018-07-04;13.74510501957992
2018-07-05;15.806870772516907
2018-07-06;10.652456390174438
2018-07-09;13.401477394090422
2018-07-10;11.683339266642932
2018-07-11;9.965201139195441
2018-07-12;19.930402278390883
2018-07-13;10.30882876468494
2018-07-16;17.525008899964398
2018-07-17;12.02696689213243
2018-07-18;10.652456390174438
2018-07-19;13.74510501957992
2018-07-20;17.868636525453894
2018-07-23;12.370594517621928
2018-07-24;12.370594517621928
2018-07-25;13.74510501957992
2018-07-26;21.99216803132787
2018-07-27;18.55589177643289
2018-07-30;21.304912780348875
2018-07-31;34.362762548949796
2018-08-01;26.11569953720185
2018-08-02;15.46324314702741
2018-08-03;16.150498398006405
2018-08-06;12.02696689213243
2018-08-07;15.806870772516907
2018-08-08;12.714222143111426
2018-08-09;15.119615521537911
2018-08-10;16.8377536489854
2018-08-13;10.652456390174438
2018-08-14;15.806870772516907
2018-08-15;17.181381274474898
2018-08-16;13.74510501957992
2018-08-17;15.806870772516907
2018-08-20;18.89951940192239
2018-08-21;18.89951940192239
2018-08-22;16.150498398006405
2018-08-23;15.806870772516907
2018-08-24;25.290993236027052
2018-08-27;12.645496618013526
2018-08-28;24.89582146671413
2018-08-29;16.20204254182983
2018-08-30;23.31513438946244
2018-08-31;21.734447312210747
2018-09-03;26.47650854396582
2018-09-04;16.20204254182983
2018-09-05;17.782729619081522
2018-09-06;28.05719562121751
2018-09-07;24.89582146671413
2018-09-10;25.290993236027052
2018-09-11;20.54893200427198
2018-09-12;25.290993236027052
2018-09-13;22.919962620149516
2018-09-14;10.669637771448913
2018-09-17;29.242710929156278
2018-09-18;17.782729619081522
2018-09-19;19.758588465646135
2018-09-20;13.831011925952295
2018-09-21;30.428226237095046
2018-09-24;29.242710929156278
2018-09-25;26.081336774652897
2018-09-26;24.105477928088284
2018-09-27;21.339275542897827
2018-09-28;15.411699003203985
2018-10-01;15.016527233891063
2018-10-02;28.05719562121751
2018-10-03;18.573073157707366
2018-10-04;20.944103773584903
2018-10-05;17.782729619081522
2018-10-08;26.47650854396582
2018-10-09;19.36341669633321
2018-10-10;22.12961908152367
2018-10-11;21.339275542897827
2018-10-12;20.15376023495906
2018-10-15;31.218569775720894
2018-10-16;24.500649697401208
2018-10-17;25.290993236027052
2018-10-18;22.524790850836595
2018-10-19;26.47650854396582
2018-10-22;28.05719562121751
2018-10-23;19.758588465646135
2018-10-24;19.758588465646135
2018-10-25;22.919962620149516
2018-10-26;18.96824492702029
2018-10-29;20.944103773584903
2018-10-30;27.266852082591665
2018-10-31;23.31513438946244
2018-11-01;22.919962620149516
2018-11-02;21.339275542897827
2018-11-05;21.734447312210747
2018-11-06;17.782729619081522
2018-11-07;21.339275542897827
2018-11-08;21.339275542897827
2018-11-09;23.71030615877536
2018-11-12;29.242710929156278
2018-11-13;21.734447312210747
2018-11-14;24.105477928088284
2018-11-15;19.36341669633321
2018-11-16;34.37994393022427
2018-11-19;24.89582146671413
2018-11-20;15.806870772516907
2018-11-21;39.51717693129227
2018-11-22;31.490250367123526
2018-11-23;34.577529814880734
2018-11-26;30.255338588020642
2018-11-27;35.19498570443218
2018-11-28;29.637882698469202
2018-11-29;40.13463282084371
2018-11-30;36.42989748353506
2018-12-03;29.02042680891776
2018-12-04;37.0473533730865
2018-12-05;45.07427993725524
2018-12-06;40.13463282084371
2018-12-07;26.550603250711994
2018-12-10;28.402970919366318
2018-12-11;38.899721041740825
2018-12-12;38.28226515218939
2018-12-13;42.60445637904948
2018-12-14;27.168059140263434
2018-12-17;30.255338588020642
2018-12-18;29.637882698469202
2018-12-19;40.13463282084371
2018-12-20;39.51717693129227
2018-12-21;31.490250367123526
2018-12-24;24.69823558205767
2018-12-27;33.9600739253293
2018-12-28;32.72516214622641
2018-12-31;30.255338588020642
2019-01-02;25.31569147160911
2019-01-03;34.577529814880734
2019-01-04;22.228412023851902
2019-01-07;35.19498570443218
2019-01-08;29.02042680891776
2019-01-09;38.899721041740825
2019-01-10;29.637882698469202
2019-01-11;24.69823558205767
2019-01-14;36.42989748353506
