Date;EssilorLuxottica
2017-12-13;62.861674447556794
2017-12-14;62.861674447556794
2017-12-15;46.94732648615001
2017-12-18;64.45310924369747
2017-12-19;71.61456582633052
2017-12-20;59.67880485527544
2017-12-21;51.72163087457204
2017-12-22;39.785869903516954
2017-12-27;53.313065670712724
2017-12-28;49.33447868036103
2017-12-29;53.313065670712724
2018-01-02;37.39871770930594
2018-01-03;44.56017429193899
2018-01-04;65.2488266417678
2018-01-05;58.88308745720509
2018-01-08;70.81884842826018
2018-01-09;79.57173980703391
2018-01-10;74.00171802054155
2018-01-11;54.10878306878306
2018-01-12;63.65739184562713
2018-01-15;70.02313103018984
2018-01-16;62.861674447556794
2018-01-17;74.79743541861188
2018-01-18;66.84026143790848
2018-01-19;57.29165266106442
2018-01-22;53.313065670712724
2018-01-23;66.84026143790848
