Date;Valeo
2018-10-31;137.25863804818746
2018-11-01;85.9751908653482
2018-11-02;99.55022100198212
2018-11-05;128.2086179570982
2018-11-06;126.70028127524998
2018-11-07;114.63358782046427
2018-11-08;113.12525113861605
2018-11-09;108.6002410930714
2018-11-12;102.56689436567855
2018-11-13;114.63358782046427
2018-11-14;114.63358782046427
2018-11-15;110.10857777491962
2018-11-16;101.05855768383034
2018-11-19;120.66693454785712
2018-11-20;128.2086179570982
2018-11-21;98.04188432013392
2018-11-22;120.56501990719171
2018-11-23;95.392103662833
2018-11-26;112.61567793528896
2018-11-27;132.48903286504583
2018-11-28;125.86458122179354
2018-11-29;119.24012957854124
2018-11-30;109.96589727798803
2018-12-03;120.56501990719171
2018-12-04;123.21480056449262
2018-12-05;98.04188432013392
2018-12-06;96.71699399148346
2018-12-07;96.71699399148346
2018-12-10;120.56501990719171
2018-12-11;100.69166497743483
2018-12-12;129.83925220774492
2018-12-13;96.71699399148346
2018-12-14;99.36677464878437
2018-12-17;104.6663359633862
2018-12-18;112.61567793528896
2018-12-19;100.69166497743483
2018-12-20;117.91523924989079
2018-12-21;117.91523924989079
2018-12-24;66.24451643252291
2018-12-27;84.79298103362933
2018-12-28;74.19385840442567
2018-12-31;62.26984544657154
2019-01-02;124.53969089314307
2019-01-03;113.94056826393941
2019-01-04;91.41743267688162
2019-01-07;129.83925220774492
2019-01-08;111.2907876066385
2019-01-09;119.24012957854124
2019-01-10;129.83925220774492
2019-01-11;132.48903286504583
2019-01-14;96.71699399148346
2019-01-15;111.2907876066385
2019-01-16;119.24012957854124
2019-01-17;90.09254234823116
2019-01-18;91.41743267688162
2019-01-21;104.6663359633862
2019-01-22;108.64100694933758
2019-01-23;124.53969089314307
2019-01-24;128.51436187909445
2019-01-25;117.91523924989079
2019-01-28;111.2907876066385
2019-01-29;131.16414253639536
2019-01-30;109.96589727798803
2019-01-31;102.0165553060853
2019-02-01;88.76765201958071
2019-02-04;120.56501990719171
2019-02-05;115.26545859258987
2019-02-06;121.88991023584217
2019-02-07;111.2907876066385
2019-02-08;121.88991023584217
2019-02-11;116.59034892124033
2019-02-12;103.34144563473575
2019-02-13;111.2907876066385
2019-02-14;96.71699399148346
2019-02-15;117.91523924989079
2019-02-18;113.94056826393941
2019-02-19;116.59034892124033
2019-02-20;116.59034892124033
2019-02-21;157.5545255692437
2019-02-22;118.16589417693277
2019-02-25;121.31698468831765
2019-02-26;111.86371315416302
2019-02-27;115.0148036655479
2019-02-28;135.49689198954957
2019-03-01;92.95717008585378
