Date;Peugeot
2018-10-18;81.36313043478262
2018-10-19;85.23756521739132
2018-10-22;85.23756521739132
2018-10-23;81.36313043478262
2018-10-24;78.45730434782611
2018-10-25;77.48869565217393
2018-10-26;80.39452173913045
2018-10-29;77.48869565217393
2018-10-30;79.42591304347827
2018-10-31;74.58286956521741
2018-11-01;80.39452173913045
2018-11-02;84.26895652173914
2018-11-05;85.23756521739132
2018-11-06;78.45730434782611
2018-11-07;78.45730434782611
2018-11-08;82.3317391304348
2018-11-09;82.3317391304348
2018-11-12;81.36313043478262
2018-11-13;79.42591304347827
2018-11-14;80.39452173913045
2018-11-15;76.52008695652175
2018-11-16;80.39452173913045
2018-11-19;83.30034782608698
2018-11-20;78.45730434782611
2018-11-21;80.39452173913045
2018-11-22;79.21224936061382
2018-11-23;75.66543222506395
2018-11-26;75.66543222506395
2018-11-27;72.11861508951408
2018-11-28;72.11861508951408
2018-11-29;72.11861508951408
2018-11-30;74.48315984654732
2018-12-03;74.48315984654732
2018-12-04;73.30088746803071
2018-12-05;70.93634271099745
2018-12-06;73.30088746803071
2018-12-07;70.93634271099745
2018-12-10;75.66543222506395
2018-12-11;69.75407033248084
2018-12-12;70.93634271099745
2018-12-13;70.93634271099745
2018-12-14;73.30088746803071
2018-12-17;73.30088746803071
2018-12-18;70.93634271099745
2018-12-19;69.75407033248084
2018-12-20;68.57179795396421
2018-12-21;67.38952557544758
2018-12-24;61.47816368286446
2018-12-27;83.94133887468033
2018-12-28;81.57679411764707
2018-12-31;65.02498081841433
2019-01-02;114.68042071611255
2019-01-03;107.5867864450128
2019-01-04;108.76905882352943
2019-01-07;102.8576969309463
2019-01-08;91.03497314578007
2019-01-09;89.85270076726344
2019-01-10;86.30588363171357
2019-01-11;86.30588363171357
2019-01-14;85.12361125319694
2019-01-15;83.94133887468033
2019-01-16;85.12361125319694
2019-01-17;83.94133887468033
2019-01-18;83.94133887468033
2019-01-21;91.03497314578007
2019-01-22;86.30588363171357
2019-01-23;86.30588363171357
2019-01-24;87.4881560102302
2019-01-25;87.4881560102302
2019-01-28;88.67042838874681
2019-01-29;87.4881560102302
2019-01-30;85.12361125319694
2019-01-31;81.57679411764707
2019-02-01;82.7590664961637
2019-02-04;82.7590664961637
2019-02-05;81.57679411764707
2019-02-06;82.7590664961637
2019-02-07;82.7590664961637
2019-02-08;85.12361125319694
2019-02-11;83.94133887468033
2019-02-12;82.7590664961637
2019-02-13;81.57679411764707
2019-02-14;76.84770460358058
2019-02-15;82.7590664961637
2019-02-18;87.4881560102302
2019-02-19;85.12361125319694
2019-02-20;84.12215700315933
2019-02-21;83.12070275312172
2019-02-22;91.1323367534226
2019-02-25;100.14542500376112
2019-02-26;100.14542500376112
2019-02-27;94.13669950353544
2019-02-28;88.12797400330977
2019-03-01;86.12506550323455
